subhanallah | Count: 33 | Ref: Sahih Muslim 2691 | Reward: Whoever says SubhanAllah 100 times, his sins are wiped even if like the foam of the sea.
alhamdulillah | Count: 33 | Ref: Sahih Muslim 223 | Reward: Alhamdulillah fills the scales of good deeds.
allahu_akbar | Count: 34 | Ref: Sahih Muslim 597 | Reward: SubhanAllah, Alhamdulillah, Allahu Akbar — more beloved than all that is under the sun.
la_ilaha_illallah | Count: 100 | Ref: Sahih Bukhari 3293 | Reward: Whoever says it 100 times: reward of freeing 10 slaves, 100 good deeds written, 100 sins erased, protected from Shaytan.
la_hawla | Count: 10 | Ref: Sahih Bukhari 4205 | Reward: It is a treasure from the treasures of Paradise.
subhanallahi_wabihamdih | Count: 100 | Ref: Sahih Bukhari 6405 | Reward: Whoever says it 100 times morning and evening — comes on Judgment Day with nothing better except one who said more.
subhanallahi_al_azeem | Count: 100 | Ref: Sahih Bukhari 6682 | Reward: Two phrases light on the tongue, heavy on the scales, beloved to the Most Merciful.
astaghfirullah | Count: 100 | Ref: Abu Dawud 1518 | Reward: The Prophet used to seek forgiveness 70+ times daily. Whoever does Istighfar, Allah relieves his distress and provides from where he cannot imagine.
istighfar_extended | Count: 70 | Ref: Sahih Bukhari 6307 | Reward: The Prophet said: I seek forgiveness 70 times daily.
sayyid_istighfar | Count: 1 | Ref: Sahih Bukhari 6306 | Reward: The master of all prayers for forgiveness. Whoever says it with firm belief in the morning and dies that day will be among the people of Paradise.
sleeping_ayat_kursi | Count: 1 | Ref: Sahih Bukhari 2311 | Reward: Recite Ayat al-Kursi before sleep — a guardian from Allah will protect you, Shaytan will not come near until morning.
sleeping_tasbih_1 | Count: 33 | Ref: Sahih Bukhari 3113 | Reward: Before sleeping: 33 SubhanAllah, 33 Alhamdulillah, 34 Allahu Akbar — this is better for you than a servant.
sleeping_tasbih_2 | Count: 33 | Ref: Sahih Bukhari 3113 | Reward: Part of the bedtime tasbih prescribed by the Prophet to Fatimah and Ali.
sleeping_tasbih_3 | Count: 34 | Ref: Sahih Bukhari 3113 | Reward: Part of the bedtime tasbih — better for you than having a servant.
sleeping_bismillah | Count: 1 | Ref: Sahih Bukhari 6312 | Reward: The Prophet used to say this every night before sleeping.
sleeping_mulk | Count: 1 | Ref: Tirmidhi 2891 | Reward: Surah Al-Mulk intercedes for its reciter and protects from the punishment of the grave.
sleeping_ikhlas | Count: 3 | Ref: Sahih Bukhari 5017 | Reward: Reciting Al-Ikhlas 3x before sleeping equals reciting the entire Quran.
post_prayer_subhanallah | Count: 33 | Ref: Sahih Muslim 597 | Reward: After every obligatory prayer: 33 SubhanAllah, 33 Alhamdulillah, 33 Allahu Akbar — sins forgiven even if like the foam of the sea.
post_prayer_alhamdulillah | Count: 33 | Ref: Sahih Muslim 223 | Reward: Said 33 times after every obligatory prayer. Fills the scales on the Day of Judgment.
post_prayer_allahu_akbar | Count: 33 | Ref: Sahih Bukhari & Muslim | Reward: Said 33 times after every obligatory prayer. Together with the tasbihat completes 100 remembrances.
post_prayer_ayat_kursi | Count: 1 | Ref: Nasai, authenticated by Ibn Hibban | Reward: Whoever recites Ayat al-Kursi after every obligatory prayer is guaranteed Paradise when they die.
post_prayer_la_ilaha | Count: 1 | Ref: Sahih Muslim 591 | Reward: Whoever says this after every obligatory prayer — his sins are forgiven even if they are like the foam of the sea.
post_prayer_istighfar | Count: 3 | Ref: Sahih Muslim 591 | Reward: The Prophet used to say Astaghfirullah 3 times after every prayer.
salawat_ibrahimiyya | Count: 10 | Ref: Sahih Muslim 408 | Reward: Whoever sends one blessing upon the Prophet, Allah sends ten upon him.
salawat_simple | Count: 100 | Ref: Sahih Muslim 408 | Reward: Allah sends ten blessings upon anyone who sends one upon the Prophet.
salawat_friday | Count: 1000 | Ref: Abu Dawud 1047 | Reward: The Prophet commanded us to increase prayers upon him on Friday — they are presented to him on that day.
tahajjud_opening | Count: 1 | Ref: Sahih Bukhari 1120 | Reward: The Prophet used to begin Tahajjud with this powerful du'a.
tahajjud_witr | Count: 3 | Ref: Abu Dawud 1430 | Reward: Recited 3 times in Witr prayer, raising the voice on the third.
tahajjud_qunut | Count: 1 | Ref: Abu Dawud 1425 | Reward: Dua al-Qunut recited in Witr prayer.
sunnah_mirror | Count: 1 | Ref: Ibn Hibban, Ahmad | Reward: Dua when looking in the mirror.
sunnah_anger | Count: 1 | Ref: Sahih Bukhari 3282 | Reward: The Prophet said: If you are angry, seek refuge in Allah from Shaytan — anger will leave.
sunnah_sneeze | Count: 1 | Ref: Sahih Bukhari 6224 | Reward: When you sneeze, say Alhamdulillah. Those who hear say Yarhamukallah.
sunnah_entering_home | Count: 1 | Ref: Abu Dawud 5096 | Reward: Du'a when entering the house.
