Category Name,Zikar Name,Arabic,Translation,Benefit Text,Illustration
General,(no name),سُبْحَانَ اللَّهِ,Glory be to Allah,"Whoever says SubhanAllah 100 times, his sins are wiped even if like the foam of the sea.","Wooden tasbih beads glowing one after another as a hand counts, soft light rising with each bead."
General,(no name),الْحَمْدُ لِلَّهِ,All praise is for Allah,Alhamdulillah fills the scales of good deeds.,"A golden scale tipping fully to the side of good deeds, soft warm light radiating from the heavier pan."
General,(no name),اللَّهُ أَكْبَرُ,Allah is the Greatest,"SubhanAllah, Alhamdulillah, Allahu Akbar — more beloved than all that is under the sun.","Wooden tasbih beads glowing one after another as a hand counts, soft light rising with each bead."
General,(no name),لَا إِلَهَ إِلَّا اللَّهُ,There is no god but Allah,"Whoever says it 100 times: reward of freeing 10 slaves, 100 good deeds written, 100 sins erased, protected from Shaytan.","Ten chains breaking and falling from a freed wrist, a white dove rising into warm dawn light."
General,(no name),لَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ,There is no power nor strength except with Allah,It is a treasure from the treasures of Paradise.,"A sealed golden treasure-chest of Paradise just beginning to open, a single key glowing with the words inscribed upon it."
General,(no name),سُبْحَانَ اللَّهِ وَبِحَمْدِهِ,Glory be to Allah and His is the praise,Whoever says it 100 times morning and evening — comes on Judgment Day with nothing better except one who said more.,"A vast ocean horizon at dawn, foam softly dissolving into the rising sunlight on the surface."
General,(no name),سُبْحَانَ اللَّهِ الْعَظِيمِ,"Glory be to Allah, the Almighty","Two phrases light on the tongue, heavy on the scales, beloved to the Most Merciful.",A golden scale tipped fully to one side beneath a swirling galaxy of countless tasbih beads.
Morning,(no name),بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ اَلْحَمْدُ لِلّٰهِ رَبِّ الْعَالَمِيْنَ ، الرَّحْمٰنِ الرَّحِيْمِ ، مَالِكِ يَوْمِ الدِّيْنِ ، إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِيْنُ ، اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ، صِرَاطَ الَّذِيْنَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّالِّيْنَ,"In the name of Allah, the Most Gracious, the Most Merciful. All praise is due to Allah, Lord of the worlds. The Most Gracious, the Most Merciful. Master of the Day of Judgment. You alone we worship, and You alone we ask for help. Guide us to the straight path — the path of those upon whom You have bestowed favor, not of those who have evoked Your anger or of those who are astray.",Al Fateha,"Open Quran turned to Surah Al-Fatihah, gentle light radiating outward from the calligraphy onto open palms."
Morning,(no name),الٓمٓ ، ذٰلِكَ الْكِتَابُ لَا رَيْبَ فِيْهِ هُدًى لِّلْمُتَّقِيْنَ ، الَّذِيْنَ يُؤْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُوْنَ ، وَالَّذِيْنَ يُؤْمِنُوْنَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوْقِنُوْنَ ، أُولٰئِكَ عَلَىٰ هُدًى مِنْ رَبِّهِمْ وَأُولٰئِكَ هُمُ الْمُفْلِحُوْنَ,"Alif, Lam, Mim. This is the Book about which there is no doubt, a guidance for those conscious of Allah — who believe in the unseen, establish prayer, and spend out of what We have provided for them, and who believe in what has been revealed to you and what was revealed before you, and of the Hereafter they are certain. Those are upon guidance from their Lord, and it is those who are the successful.",Alif Laam Meem Ad-Darimi,"Open Quran with the opening of Surah Al-Baqarah glowing, soft path of guidance light leading into the page."
Morning,Ayatul Kursi,أَعُوْذُ بِاللّٰهِ مِنَ الشَّيْطَانِ الرَّجِيْمِ. اَللّٰهُ لَآ إِلٰهَ إِلَّا هُوَ الْحَىُّ الْقَيُّوْمُ ، لَا تَأْخُذُهُۥ سِنَةٌ وَّلَا نَوْمٌ ، لَهُ مَا فِى السَّمٰـوٰتِ وَمَا فِى الْأَرْضِ ، مَنْ ذَا الَّذِىْ يَشْفَعُ عِنْدَهُ إِلَّا بِإِذْنِهِۦ ، يَعْلَمُ مَا بَيْنَ أَيْدِيْهِمْ وَمَا خَلْفَهُمْ ، وَلَا يُحِيْطُوْنَ بِشَىْءٍ مِّنْ عِلْمِهِٓ إِلَّا بِمَا شَآءَ ، وَسِعَ كُرْسِيُّهُ السَّمٰـوٰتِ وَالْأَرْضَ، وَلَا يَئُوْدُهُۥ حِفْظُهُمَا ، وَهُوَ الْعَلِىُّ الْعَظِيْمُ.,"I seek the protection of Allah from the accursed Shayṭān. Allah, there is no god worthy of worship but He, the Ever Living, The Sustainer of all. Neither drowsiness overtakes Him nor sleep. To Him Alone belongs whatever is in the heavens and whatever is on the earth. Who is it that can intercede with Him except with His permission? He knows what is before them and what will be after them, and they encompass not a thing of His knowledge except for what He wills. His Kursī extends over the heavens and the earth, and their preservation does not tire Him. And He is the Most High, the Magnificent. (2:255)",Ayatul Kursi,"Glowing celestial throne extending across the heavens and earth, with a soft golden dome of protection forming over a kneeling worshipper."
